Method,Name,Error,Occurrences,First Seen,Last Seen
,,,,,
POST,/api/session/respond,CatchResponseError('Failed response for Q#Q_061: Internal Server Error'),2,2026-05-28T07:48:59Z,2026-05-28T07:49:08Z
,,,,,
GET,/api/session/report/4e2d7016-c4b3-4d33-9f45-cf704591ce41,CatchResponseError('Failed to load report for 4e2d7016-c4b3-4d33-9f45-cf704591ce41: Internal Server Error'),1,2026-05-28T07:49:09Z,2026-05-28T07:49:09Z
,,,,,
GET,/api/session/report/e89c353e-d07e-450c-915a-a1792261098f,CatchResponseError('Failed to load report for e89c353e-d07e-450c-915a-a1792261098f: Internal Server Error'),1,2026-05-28T07:49:13Z,2026-05-28T07:49:13Z
,,,,,
POST,/api/session/respond,CatchResponseError('Failed response for Q#Q_194: Internal Server Error'),1,2026-05-28T07:49:08Z,2026-05-28T07:49:08Z
,,,,,
GET,/api/session/report/19dc4336-2b3d-451c-a1fd-039e7ca4665f,CatchResponseError('Failed to load report for 19dc4336-2b3d-451c-a1fd-039e7ca4665f: Internal Server Error'),1,2026-05-28T07:49:11Z,2026-05-28T07:49:11Z
,,,,,
GET,/api/session/report/c0c3ee5e-081a-4cf6-b03c-e37b0af4ee7d,CatchResponseError('Failed to load report for c0c3ee5e-081a-4cf6-b03c-e37b0af4ee7d: Internal Server Error'),1,2026-05-28T07:49:13Z,2026-05-28T07:49:13Z
,,,,,
POST,/api/session/respond,CatchResponseError('Failed response for Q#Q_079: Internal Server Error'),7,2026-05-28T07:48:57Z,2026-05-28T07:49:13Z
,,,,,
POST,/api/session/respond,CatchResponseError('Failed response for Q#Q_010: Internal Server Error'),6,2026-05-28T07:49:02Z,2026-05-28T07:49:13Z
,,,,,
POST,/api/session/start,"CatchResponseError('Failed to start session: {""detail"":""No questions available for this grade""}')",88,2026-05-28T07:48:16Z,2026-05-28T07:49:14Z
,,,,,
GET,/api/session/report/4b44fe57-be8e-43c0-96d4-669af7668fd7,CatchResponseError('Failed to load report for 4b44fe57-be8e-43c0-96d4-669af7668fd7: Internal Server Error'),1,2026-05-28T07:49:14Z,2026-05-28T07:49:14Z
,,,,,
