Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/session/report/007b710a-6814-4fad-abae-00f1235b59d4,1,1,255.37949999852572,255.37949999852572,255.37949999852572,255.37949999852572,21.0,0.016690510002255004,0.016690510002255004,260,260,260,260,260,260,260,260,260,260,260
GET,/api/session/report/00863664-d1e1-4b50-9c86-56243b666946,1,0,420.39199999999255,420.39199999999255,420.39199999999255,420.39199999999255,5421.0,0.016690510002255004,0.0,420,420,420,420,420,420,420,420,420,420,420
GET,/api/session/report/011159fd-7412-4870-aa7d-78917c3273d6,1,0,126.67320000764448,126.67320000764448,126.67320000764448,126.67320000764448,3055.0,0.016690510002255004,0.0,130,130,130,130,130,130,130,130,130,130,130
GET,/api/session/report/01ac0b83-22e3-4154-9a20-b15835e0f2ff,1,0,150.07259999401867,150.07259999401867,150.07259999401867,150.07259999401867,4260.0,0.016690510002255004,0.0,150,150,150,150,150,150,150,150,150,150,150
GET,/api/session/report/02fa7366-834b-4eca-a6d5-0d6af5b39f54,1,0,230.5625000008149,230.5625000008149,230.5625000008149,230.5625000008149,5408.0,0.016690510002255004,0.0,230,230,230,230,230,230,230,230,230,230,230
GET,/api/session/report/0337462d-ffd8-4e21-9380-2923d6f7e7f6,1,0,286.9161999988137,286.9161999988137,286.9161999988137,286.9161999988137,3875.0,0.016690510002255004,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/api/session/report/0636cf92-b753-478f-9c09-3afbdeda56d0,1,1,259.09730000421405,259.09730000421405,259.09730000421405,259.09730000421405,21.0,0.016690510002255004,0.016690510002255004,260,260,260,260,260,260,260,260,260,260,260
GET,/api/session/report/0681f41c-b8c8-4c83-809a-6579c1ae618c,1,0,51.744500000495464,51.744500000495464,51.744500000495464,51.744500000495464,4275.0,0.016690510002255004,0.0,52,52,52,52,52,52,52,52,52,52,52
GET,/api/session/report/086194b6-31b2-41df-be78-9644e269e73b,1,1,254.96809999458492,254.96809999458492,254.96809999458492,254.96809999458492,21.0,0.016690510002255004,0.016690510002255004,250,250,250,250,250,250,250,250,250,250,250
GET,/api/session/report/0a80167c-701f-4d08-a7ba-2a9d753e85ac,1,0,234.25619999761693,234.25619999761693,234.25619999761693,234.25619999761693,5388.0,0.016690510002255004,0.0,230,230,230,230,230,230,230,230,230,230,230
GET,/api/session/report/0d328dee-f954-4c01-b425-388c0a20e8e0,1,0,477.9019999987213,477.9019999987213,477.9019999987213,477.9019999987213,5053.0,0.016690510002255004,0.0,480,480,480,480,480,480,480,480,480,480,480
GET,/api/session/report/0e9c21c0-4a15-498e-8096-00e9fd3beb76,1,0,44.6455000055721,44.6455000055721,44.6455000055721,44.6455000055721,2815.0,0.016690510002255004,0.0,45,45,45,45,45,45,45,45,45,45,45
GET,/api/session/report/1090f67e-26c4-4df7-9eed-cc038cfdebe0,1,0,65.65729998692404,65.65729998692404,65.65729998692404,65.65729998692404,1335.0,0.016690510002255004,0.0,66,66,66,66,66,66,66,66,66,66,66
GET,/api/session/report/11772123-994d-40b9-ba03-ce0577194f7e,1,0,217.62450000096578,217.62450000096578,217.62450000096578,217.62450000096578,4858.0,0.016690510002255004,0.0,220,220,220,220,220,220,220,220,220,220,220
GET,/api/session/report/12f6845d-8039-4936-9357-52b876a4ce92,1,1,5252.897999991546,5252.897999991546,5252.897999991546,5252.897999991546,21.0,0.016690510002255004,0.016690510002255004,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300
GET,/api/session/report/14438e33-c729-4337-8b82-e64e1598cc01,1,1,255.84949999756645,255.84949999756645,255.84949999756645,255.84949999756645,21.0,0.016690510002255004,0.016690510002255004,260,260,260,260,260,260,260,260,260,260,260
GET,/api/session/report/14c628de-a3ce-4bd0-bd46-22a65e26a408,1,0,425.4668000066886,425.4668000066886,425.4668000066886,425.4668000066886,5931.0,0.016690510002255004,0.0,430,430,430,430,430,430,430,430,430,430,430
